+--------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                                 | Name                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                    |
| minecraft:recipes/decorations/purple_stained_glass_pane            | minecraft:recipes/decorations/purple_stained_glass_pane            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/red_banner                           | minecraft:recipes/decorations/red_banner                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/red_bed                              | minecraft:recipes/decorations/red_bed                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/red_bed_from_white_bed               | minecraft:recipes/decorations/red_bed_from_white_bed               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/red_carpet                           | minecraft:recipes/decorations/red_carpet                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/red_stained_glass_pane               | minecraft:recipes/decorations/red_stained_glass_pane               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/sign                                 | minecraft:recipes/decorations/sign                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/slime                                | minecraft:recipes/decorations/slime                                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/snow_layer                           | minecraft:recipes/decorations/snow_layer                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/spruce_fence                         | minecraft:recipes/decorations/spruce_fence                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/torch                                | minecraft:recipes/decorations/torch                                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/white_banner                         | minecraft:recipes/decorations/white_banner                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/white_bed                            | minecraft:recipes/decorations/white_bed                            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/white_carpet                         | minecraft:recipes/decorations/white_carpet                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/white_stained_glass_pane             | minecraft:recipes/decorations/white_stained_glass_pane             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/yellow_banner                        | minecraft:recipes/decorations/yellow_banner                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/yellow_bed                           | minecraft:recipes/decorations/yellow_bed                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/yellow_bed_from_white_bed            | minecraft:recipes/decorations/yellow_bed_from_white_bed            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/yellow_carpet                        | minecraft:recipes/decorations/yellow_carpet                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/decorations/yellow_stained_glass_pane            | minecraft:recipes/decorations/yellow_stained_glass_pane            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/beetroot_soup                               | minecraft:recipes/food/beetroot_soup                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/bread                                       | minecraft:recipes/food/bread                                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/cake                                        | minecraft:recipes/food/cake                                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/cookie                                      | minecraft:recipes/food/cookie                                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/golden_apple                                | minecraft:recipes/food/golden_apple                                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/mushroom_stew                               | minecraft:recipes/food/mushroom_stew                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/pumpkin_pie                                 | minecraft:recipes/food/pumpkin_pie                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/rabbit_stew_from_brown_mushroom             | minecraft:recipes/food/rabbit_stew_from_brown_mushroom             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/food/rabbit_stew_from_red_mushroom               | minecraft:recipes/food/rabbit_stew_from_red_mushroom               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/beacon                                      | minecraft:recipes/misc/beacon                                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/bone_meal_from_block                        | minecraft:recipes/misc/bone_meal_from_block                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/bone_meal_from_bone                         | minecraft:recipes/misc/bone_meal_from_bone                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/book                                        | minecraft:recipes/misc/book                                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/bowl                                        | minecraft:recipes/misc/bowl                                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/bucket                                      | minecraft:recipes/misc/bucket                                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/coal                                        | minecraft:recipes/misc/coal                                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/cyan_dye                                    | minecraft:recipes/misc/cyan_dye                                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/diamond                                     | minecraft:recipes/misc/diamond                                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/emerald                                     | minecraft:recipes/misc/emerald                                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/ender_eye                                   | minecraft:recipes/misc/ender_eye                                   | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/fire_charge                                 | minecraft:recipes/misc/fire_charge                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/gold_ingot_from_block                       | minecraft:recipes/misc/gold_ingot_from_block                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/gold_ingot_from_nuggets                     | minecraft:recipes/misc/gold_ingot_from_nuggets                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/gold_nugget                                 | minecraft:recipes/misc/gold_nugget                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/gray_dye                                    | minecraft:recipes/misc/gray_dye                                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/iron_ingot_from_block                       | minecraft:recipes/misc/iron_ingot_from_block                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/iron_ingot_from_nuggets                     | minecraft:recipes/misc/iron_ingot_from_nuggets                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/iron_nugget                                 | minecraft:recipes/misc/iron_nugget                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/lapis_lazuli                                | minecraft:recipes/misc/lapis_lazuli                                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/leather                                     | minecraft:recipes/misc/leather                                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_blue_dye_from_blue_orchid             | minecraft:recipes/misc/light_blue_dye_from_blue_orchid             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal          | minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_gray_dye_from_azure_bluet             | minecraft:recipes/misc/light_gray_dye_from_azure_bluet             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal           | minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_gray_dye_from_ink_bonemeal            | minecraft:recipes/misc/light_gray_dye_from_ink_bonemeal            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_gray_dye_from_oxeye_daisy             | minecraft:recipes/misc/light_gray_dye_from_oxeye_daisy             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/light_gray_dye_from_white_tulip             | minecraft:recipes/misc/light_gray_dye_from_white_tulip             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/lime_dye                                    | minecraft:recipes/misc/lime_dye                                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/magenta_dye_from_allium                     | minecraft:recipes/misc/magenta_dye_from_allium                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/magenta_dye_from_lapis_ink_bonemeal         | minecraft:recipes/misc/magenta_dye_from_lapis_ink_bonemeal         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/magenta_dye_from_lapis_red_pink             | minecraft:recipes/misc/magenta_dye_from_lapis_red_pink             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/magenta_dye_from_lilac                      | minecraft:recipes/misc/magenta_dye_from_lilac                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/magenta_dye_from_purple_and_pink            | minecraft:recipes/misc/magenta_dye_from_purple_and_pink            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/map                                         | minecraft:recipes/misc/map                                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/melon_seeds                                 | minecraft:recipes/misc/melon_seeds                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/orange_dye_from_orange_tulip                | minecraft:recipes/misc/orange_dye_from_orange_tulip                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/orange_dye_from_red_yellow                  | minecraft:recipes/misc/orange_dye_from_red_yellow                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/paper                                       | minecraft:recipes/misc/paper                                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/pink_dye_from_peony                         | minecraft:recipes/misc/pink_dye_from_peony                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/pink_dye_from_pink_tulip                    | minecraft:recipes/misc/pink_dye_from_pink_tulip                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/pink_dye_from_red_bonemeal                  | minecraft:recipes/misc/pink_dye_from_red_bonemeal                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/pumpkin_seeds                               | minecraft:recipes/misc/pumpkin_seeds                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/purple_dye                                  | minecraft:recipes/misc/purple_dye                                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/red_dye_from_beetroot                       | minecraft:recipes/misc/red_dye_from_beetroot                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/red_dye_from_poppy                          | minecraft:recipes/misc/red_dye_from_poppy                          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/red_dye_from_rose_bush                      | minecraft:recipes/misc/red_dye_from_rose_bush                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
| minecraft:recipes/misc/red_dye_from_tulip                          | minecraft:recipes/misc/red_dye_from_tulip                          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | minecraft:recipes/root                    |
